[METADATA]
Parameter,Value
Total Population,30917
Total Simulation Days,7

[DEVICE_SUMMARY]
Device,TotalLitersConsumed,TotalUses
toilet,2489600.00,1244800
shower,8156609.83,233951
wash_bassin,2590186.01,1281945
wash_machine,3874608.00,26907
dish_washer,4171502.96,5381635
tanque,988615.49,248643

[PULSE_DATA]
horario_segundos,toilet,shower,wash_bassin,wash_machine,dish_washer,tanque,total
0,15.60,33.46,24.28,17.90,18.00,0.00,109.24
1,14.40,33.26,24.16,17.90,18.14,0.00,107.86
2,16.80,33.44,23.91,17.90,18.47,0.00,110.52
3,18.80,33.44,24.11,17.90,18.44,0.00,112.69
4,21.20,33.09,24.17,17.90,18.79,0.00,115.15
5,19.60,33.30,24.61,17.90,19.08,0.00,114.50
6,20.40,33.30,24.46,17.90,19.08,0.00,115.14
7,18.00,33.15,23.85,17.90,19.55,0.00,112.45
8,21.60,33.15,24.16,17.90,19.82,0.00,116.63
9,21.20,32.98,24.62,17.80,19.64,0.00,116.24
10,19.60,32.95,24.37,17.80,19.76,0.00,114.48
11,19.20,32.95,24.53,17.70,19.84,0.00,114.22
12,20.00,33.05,24.48,17.70,19.57,0.00,114.80
13,14.40,33.12,24.50,17.60,19.91,0.00,109.53
14,15.20,32.92,24.66,17.40,19.85,0.00,110.04
15,16.00,33.01,24.54,17.20,19.95,0.00,110.70
16,15.60,32.96,24.43,17.20,19.93,0.00,110.12
17,14.80,33.13,24.30,17.20,20.02,0.00,109.45
18,16.80,33.13,24.20,17.10,19.85,0.00,111.08
19,16.40,32.91,24.52,17.10,19.84,0.00,110.76
20,15.60,32.83,24.79,17.10,19.65,0.00,109.97
21,18.00,32.71,24.55,17.20,19.89,0.00,112.34
22,21.60,32.60,24.87,17.20,19.43,0.00,115.70
23,22.00,32.41,24.86,17.20,19.41,0.00,115.88
24,22.00,32.41,24.92,17.10,19.56,0.00,115.98
25,24.80,32.41,25.08,17.10,19.66,0.00,119.05
26,23.60,32.41,25.30,17.10,19.76,0.00,118.17
27,19.20,32.41,25.44,17.10,19.72,0.00,113.87
28,18.40,32.50,25.25,17.00,19.63,0.00,112.79
29,20.40,32.40,25.21,17.00,19.42,0.00,114.42
30,18.40,32.51,24.65,17.10,19.85,0.00,112.50
31,18.00,32.56,24.72,17.10,20.08,0.00,112.45
32,22.00,32.62,24.62,17.10,20.46,0.00,116.79
33,24.80,32.55,24.14,17.20,20.44,0.00,119.13
34,21.20,32.53,24.39,17.20,21.09,0.00,116.41
35,23.20,32.40,24.48,17.10,21.23,0.00,118.41
36,22.40,32.40,24.45,17.10,21.12,0.00,117.48
37,19.60,32.48,24.42,17.10,21.16,0.00,114.76
38,18.40,32.48,24.39,17.10,21.34,0.00,113.71
39,19.60,32.51,23.99,17.00,21.39,0.00,114.48
40,17.60,32.63,24.31,17.00,21.44,0.00,112.99
41,18.40,32.75,23.95,17.00,21.44,0.00,113.54
42,19.60,32.88,24.48,17.00,21.48,0.00,115.44
43,17.20,32.79,24.26,17.00,21.31,0.00,112.57
44,14.80,32.56,24.44,17.00,21.24,0.00,110.03
45,16.00,32.68,24.12,17.20,21.45,0.00,111.45
46,18.00,32.58,23.98,17.20,21.69,0.00,113.45
47,17.60,32.66,23.84,17.20,21.62,0.00,112.92
48,18.00,32.98,23.56,17.20,21.86,0.00,113.59
49,18.80,33.14,23.23,17.20,21.91,0.00,114.28
50,18.00,32.93,23.18,17.20,22.01,0.00,113.31
51,15.60,33.05,23.88,17.30,21.98,0.00,111.81
52,15.60,33.16,23.98,17.30,21.95,0.00,111.99
53,16.40,33.16,23.62,17.40,21.76,0.00,112.35
54,16.40,33.16,23.47,17.50,21.94,0.00,112.46
55,16.00,33.05,23.55,17.40,21.97,0.00,111.97
56,16.40,33.05,23.90,17.40,21.96,0.00,112.71
57,16.80,33.20,23.78,17.40,21.95,0.00,113.13
58,16.80,33.28,23.47,17.40,22.01,0.00,112.95
59,19.60,33.26,23.51,17.40,22.00,0.00,115.77
60,20.00,33.36,23.01,17.30,22.05,0.00,115.72
61,20.40,33.36,22.95,17.20,22.33,0.00,116.24
62,18.80,33.49,22.98,17.20,22.33,0.00,114.80
63,18.40,33.49,23.48,17.20,22.11,0.00,114.68
64,16.40,33.37,23.88,17.20,21.93,0.00,112.79
65,17.60,33.24,23.70,17.20,21.90,0.00,113.64
66,20.80,33.51,23.46,17.10,21.90,0.00,116.78
67,22.80,33.46,23.47,17.10,22.22,0.00,119.04
68,25.60,33.46,23.42,17.10,22.19,0.00,121.76
69,24.80,33.49,23.51,17.10,22.51,0.00,121.41
70,23.20,33.49,24.02,17.10,22.48,0.00,120.28
71,18.40,33.25,23.98,17.10,22.13,0.00,114.86
72,17.20,33.21,23.62,17.10,22.12,0.00,113.25
73,14.80,33.09,23.42,17.20,22.30,0.00,110.81
74,14.40,33.25,23.59,17.20,22.47,0.00,110.92
75,15.20,33.35,23.77,17.20,22.46,0.00,111.98
76,17.20,33.42,23.68,17.30,22.42,0.00,114.01
77,16.40,33.52,23.60,17.30,22.42,0.00,113.24
78,18.40,33.72,24.07,17.30,22.45,0.00,115.95
79,20.00,33.72,24.00,17.30,22.77,0.00,117.79
80,19.20,33.72,23.28,17.30,22.68,0.00,116.19
81,18.00,33.65,23.79,17.30,22.61,0.00,115.35
82,17.60,33.53,23.83,17.30,22.41,0.00,114.68
83,14.00,33.58,23.91,17.30,22.35,0.00,111.14
84,12.80,33.36,24.14,17.30,21.89,0.00,109.50
85,14.40,33.45,23.90,17.30,21.92,0.00,110.97
86,16.00,33.37,24.52,17.30,21.70,0.00,112.89
87,18.80,33.78,24.65,17.30,21.61,0.00,116.15
