[METADATA]
Parameter,Value
Total Population,155367
Total Simulation Days,1

[DEVICE_SUMMARY]
Device,TotalLitersConsumed,TotalUses
toilet,4050448.42,892956
shower,5854537.88,167885
wash_bassin,1855011.21,919179
wash_machine,2773152.00,19258
dish_washer,2992687.47,3862989
tanque,708924.69,178650

[PULSE_DATA]
horario_segundos,toilet,shower,wash_bassin,wash_machine,dish_washer,tanque,total
0,28.01,26.84,17.23,15.80,11.91,0.00,99.79
1,27.93,26.71,17.26,15.80,12.12,0.00,99.82
2,28.27,26.68,17.30,15.80,12.50,0.00,100.55
3,28.31,26.69,17.29,15.80,12.49,0.00,100.58
4,28.60,26.69,17.30,15.70,12.62,0.00,100.91
5,28.73,26.52,17.33,15.70,13.02,0.00,101.29
6,28.90,26.51,17.12,15.70,12.92,0.00,101.15
7,28.98,26.58,17.07,15.70,12.88,0.00,101.21
8,29.02,26.50,16.95,15.70,12.94,0.00,101.11
9,29.11,26.50,16.51,15.70,13.13,0.00,100.94
10,29.15,26.50,16.56,15.70,13.01,0.00,100.93
11,29.06,26.39,16.75,15.70,12.96,0.00,100.86
12,29.06,26.50,17.10,15.60,12.83,0.00,101.10
13,29.02,26.46,17.20,15.60,13.18,0.00,101.45
14,29.02,26.42,17.15,15.60,13.25,0.00,101.44
15,29.27,26.42,16.95,15.60,13.29,0.00,101.53
16,29.27,26.40,16.60,15.60,13.12,0.00,101.00
17,29.15,26.42,16.68,15.60,13.48,0.00,101.33
18,29.19,26.34,16.37,15.60,13.46,0.00,100.97
19,29.27,26.44,16.05,15.60,13.49,0.00,100.86
20,29.02,26.44,16.11,15.50,13.58,0.00,100.65
21,29.06,26.44,16.32,15.50,13.82,0.00,101.15
22,28.94,26.44,16.61,15.60,13.93,0.00,101.51
23,28.98,26.61,16.37,15.60,14.25,0.00,101.81
24,29.02,26.80,16.66,15.60,14.31,0.00,102.40
25,29.02,26.79,16.62,15.60,14.38,0.00,102.42
26,29.19,26.79,16.56,15.40,14.27,0.00,102.21
27,29.15,26.83,16.31,15.40,14.29,0.00,101.98
28,29.11,26.72,16.20,15.50,14.39,0.00,101.92
29,29.19,26.85,16.18,15.50,14.54,0.00,102.25
30,29.11,26.75,16.16,15.50,14.55,0.00,102.08
31,29.02,26.72,16.32,15.50,14.99,0.00,102.56
32,29.19,26.81,15.95,15.50,15.27,0.00,102.72
33,29.02,26.94,15.96,15.50,15.26,0.00,102.69
34,29.15,26.97,16.18,15.50,15.37,0.00,103.17
35,29.02,26.92,16.31,15.50,15.42,0.00,103.16
36,29.02,26.92,16.28,15.60,15.43,0.00,103.25
37,29.15,26.92,16.21,15.60,15.39,0.00,103.26
38,29.36,26.84,16.12,15.50,15.30,0.00,103.12
39,29.53,26.64,16.51,15.50,15.28,0.00,103.46
40,29.23,26.50,16.57,15.50,15.03,0.00,102.83
41,29.15,26.27,16.62,15.50,14.81,0.00,102.35
42,28.90,26.46,16.91,15.30,14.95,0.00,102.51
43,29.06,26.66,16.89,15.20,15.25,0.00,103.06
44,28.98,26.57,17.09,15.20,15.33,0.00,103.17
45,28.64,26.57,17.16,15.20,15.47,0.00,103.04
46,28.52,26.53,17.30,15.20,15.88,0.00,103.42
47,28.60,26.53,17.19,15.20,15.97,0.00,103.49
48,28.73,26.67,17.10,15.20,16.16,0.00,103.85
49,28.77,26.77,16.94,15.20,16.04,0.00,103.71
50,28.98,26.67,17.09,15.10,16.10,0.00,103.93
51,28.85,26.67,16.88,15.10,16.43,0.00,103.93
52,29.02,26.59,17.14,15.10,16.55,0.00,104.40
53,29.23,26.73,17.31,15.10,16.33,0.00,104.71
54,29.27,26.60,17.08,15.00,16.52,0.00,104.48
55,29.19,26.57,16.85,15.00,16.57,0.00,104.18
56,29.27,26.72,16.90,15.00,16.72,0.00,104.62
57,29.36,26.73,17.01,15.00,17.11,0.00,105.22
58,29.11,26.66,17.32,15.00,17.19,0.00,105.27
59,29.36,26.57,17.62,15.00,17.30,0.00,105.84
60,29.32,26.57,17.76,15.00,17.25,0.00,105.89
61,29.53,26.37,17.76,15.00,17.15,0.00,105.80
62,29.53,26.15,17.34,15.10,17.03,0.00,105.15
63,29.44,26.25,17.10,15.10,16.69,0.00,104.58
64,29.36,26.13,17.07,14.90,16.60,0.00,104.05
65,29.23,26.21,16.64,14.90,16.69,0.00,103.68
66,29.11,26.21,16.89,14.90,16.51,0.00,103.62
67,29.23,26.14,16.64,14.80,16.22,0.00,103.03
68,29.23,26.30,16.77,14.80,16.25,0.00,103.35
69,29.36,26.50,16.86,14.80,16.41,0.00,103.94
70,29.27,26.40,16.86,14.80,16.33,0.00,103.67
71,29.23,26.45,16.49,14.80,16.32,0.00,103.29
72,29.32,26.22,16.35,14.80,16.37,0.00,103.05
73,29.27,26.16,16.07,14.90,16.03,0.00,102.44
74,29.15,26.30,15.95,14.90,16.13,0.00,102.42
75,29.40,26.43,16.14,14.80,16.06,0.00,102.83
76,29.53,26.43,16.33,14.80,15.92,0.00,103.00
77,29.48,26.58,16.09,14.80,16.01,0.00,102.96
